	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
46	joker (image)	image	fse_with_features	quality	0.65087890625	quality/joker/ViT-B-32,	ViT-B-32
47	joker (image)	image	fse_with_features	diversity	0.25732421875	diversity/joker/ViT-B-32,	ViT-B-32
48	joker (image)	image	fse_with_generator_shift	quality	0.76220703125	quality/joker/ViT-B-32,	ViT-B-32
49	joker (image)	image	fse_with_generator_shift	diversity	0.1392822265625	diversity/joker/ViT-B-32,	ViT-B-32
50	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	quality	0.7001953125	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
51	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	diversity	0.265869140625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
52	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	quality	0.68896484375	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
53	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	diversity	0.25634765625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
54	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	quality	0.68115234375	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
55	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	diversity	0.2476806640625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
56	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	quality	0.58203125	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
57	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	diversity	0.33447265625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
58	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	quality	0.607421875	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
59	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	diversity	0.3212890625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
60	murasaki_nora_asuya (image)	image	orig	quality	0.7158203125	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
61	murasaki_nora_asuya (image)	image	orig	diversity	0.23779296875	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
62	murasaki_nora_asuya (image)	image	e4e	quality	0.71240234375	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
63	murasaki_nora_asuya (image)	image	e4e	diversity	0.2257080078125	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
64	murasaki_nora_asuya (image)	image	fse	quality	0.697265625	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
65	murasaki_nora_asuya (image)	image	fse	diversity	0.2215576171875	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
66	murasaki_nora_asuya (image)	image	fse_with_features	quality	0.60400390625	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
67	murasaki_nora_asuya (image)	image	fse_with_features	diversity	0.314697265625	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
68	murasaki_nora_asuya (image)	image	fse_with_generator_shift	quality	0.63330078125	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
69	murasaki_nora_asuya (image)	image	fse_with_generator_shift	diversity	0.29541015625	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
70	disney_princess (image)	image	orig	quality	0.6533203125	quality/disney_princess/ViT-B-32,	ViT-B-32
71	disney_princess (image)	image	orig	diversity	0.1744384765625	diversity/disney_princess/ViT-B-32,	ViT-B-32
72	disney_princess (image)	image	e4e	quality	0.638671875	quality/disney_princess/ViT-B-32,	ViT-B-32
