	s_domain	encoder_type	metric_name	metric_value
59	digital_painting_jing	fse_with_generator_shift	diversity/digital_painting_jing/ViT-B-16,	0.257568359375
60	titan_armin	orig	quality/titan_armin/ViT-B-32,	0.259521484375
61	titan_armin	orig	diversity/titan_armin/ViT-B-32,	0.2388916015625
62	titan_armin	orig	quality/titan_armin/ViT-B-16,	0.279541015625
63	titan_armin	orig	diversity/titan_armin/ViT-B-16,	0.23046875
64	titan_armin	e4e	quality/titan_armin/ViT-B-32,	0.263671875
65	titan_armin	e4e	diversity/titan_armin/ViT-B-32,	0.217041015625
66	titan_armin	e4e	quality/titan_armin/ViT-B-16,	0.286376953125
67	titan_armin	e4e	diversity/titan_armin/ViT-B-16,	0.21435546875
68	titan_armin	fse	quality/titan_armin/ViT-B-32,	0.26318359375
69	titan_armin	fse	diversity/titan_armin/ViT-B-32,	0.21484375
70	titan_armin	fse	quality/titan_armin/ViT-B-16,	0.28466796875
71	titan_armin	fse	diversity/titan_armin/ViT-B-16,	0.2073974609375
72	titan_armin	fse_with_features	quality/titan_armin/ViT-B-32,	0.2197265625
73	titan_armin	fse_with_features	diversity/titan_armin/ViT-B-32,	0.308837890625
74	titan_armin	fse_with_features	quality/titan_armin/ViT-B-16,	0.2366943359375
75	titan_armin	fse_with_features	diversity/titan_armin/ViT-B-16,	0.28515625
76	titan_armin	fse_with_generator_shift	quality/titan_armin/ViT-B-32,	0.232666015625
77	titan_armin	fse_with_generator_shift	diversity/titan_armin/ViT-B-32,	0.281494140625
78	titan_armin	fse_with_generator_shift	quality/titan_armin/ViT-B-16,	0.2509765625
79	titan_armin	fse_with_generator_shift	diversity/titan_armin/ViT-B-16,	0.263916015625
80	joker	orig	quality/joker/ViT-B-32,	0.299560546875
81	joker	orig	diversity/joker/ViT-B-32,	0.1270751953125
82	joker	orig	quality/joker/ViT-B-16,	0.30517578125
83	joker	orig	diversity/joker/ViT-B-16,	0.1407470703125
84	joker	e4e	quality/joker/ViT-B-32,	0.302978515625
85	joker	e4e	diversity/joker/ViT-B-32,	0.1163330078125
86	joker	e4e	quality/joker/ViT-B-16,	0.311279296875
87	joker	e4e	diversity/joker/ViT-B-16,	0.12548828125
88	joker	fse	quality/joker/ViT-B-32,	0.30126953125
89	joker	fse	diversity/joker/ViT-B-32,	0.11614990234375
90	joker	fse	quality/joker/ViT-B-16,	0.30419921875
91	joker	fse	diversity/joker/ViT-B-16,	0.1304931640625
92	joker	fse_with_features	quality/joker/ViT-B-32,	0.270751953125
93	joker	fse_with_features	diversity/joker/ViT-B-32,	0.25732421875
94	joker	fse_with_features	quality/joker/ViT-B-16,	0.27294921875
95	joker	fse_with_features	diversity/joker/ViT-B-16,	0.249755859375
96	joker	fse_with_generator_shift	quality/joker/ViT-B-32,	0.29443359375
97	joker	fse_with_generator_shift	diversity/joker/ViT-B-32,	0.1392822265625
98	joker	fse_with_generator_shift	quality/joker/ViT-B-16,	0.302490234375
99	joker	fse_with_generator_shift	diversity/joker/ViT-B-16,	0.1453857421875
100	oliver_wetter_corie_lynn_concept_1_final_back_web	orig	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.2423095703125
101	oliver_wetter_corie_lynn_concept_1_final_back_web	orig	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.265869140625
